'snails	'con oc sen
epitrope	uy ban
epizeuxis	su lien hop
epizoa	toi song
eponymist	nguoi cung ten
eponymy	cung ten
epozoan	trong su thi
epozoic	dai nguyen sinh
eprouvette	ong nghiem
epsom salts	thuoc tay ma-nhe
epulation	su rung trung
epulosity	tinh lich su
epure	thanh trung
equalitarian	nguoi binh dang
equalizer	bo can bang
equalling	bang nhau
equant	ho deu binh dang
equation	phuong trinh
equestrianism	mon cuoi ngua
equicrescent	hinh luoi liem
equidistant	cach deu nhau
equidiurnal	xich dao
equilateral	deu
equilibrious	deu nhau
equilibrist	nguoi theo chu nghia can bang
equilibrium	trang thai can bang
equiparable	co the so sanh
equiparate	danh dong
equipment	trang thiet bi
equiponderous	trang bi nguy hiem
equipped	da trang bi
equisonance	su can bang
equitant	ho lai
equitemporaneous	binh dang
equity	von chu so huu
equivocating	lam tuong duong
equivocation	su khong ro nghia
equivoque	toi da sai
eradicable	co the diet tru
eradicative	diet tru
eras	thoi dai
erasable	co the xoa duoc
erased	bi xoa
eraser	cuc gom
erasing	tay xoa
erasion	su tay xoa
erastianism	chu nghia tay xoa
erasure	sai sot
erebus	ban se la
erectile	cuong duong
erectness	su cuong cung
erecto-patent	bang sang che cuong cung
erelong	danh du dai
eremacausis	nguyen nhan sa mac
eremite	nhung an si
eremitish	cuong cung
eremitism	cuong linh
ereption	su dung len
erethism	chu nghia ai ky
ergotism	cong thai hoc
ericaceous	co chat chua
eriometer	may do dien tu
eristalis	phan biet
erke	nang luong
erlking	lam ba tuoc
erme	dung tan chay
ermined	boc thep
ernest	tot nhat
erodent	chung se an mon
erogate	giai ngan
erogated	duoc nang len
erose	bi xoi mon
erostrate	lam xoi mon
erotesis	xoi mon
eroticism	su kheu goi
errableness	tinh sai lam
errand	viec vat
erration	sai sot
erstwhile	truoc tien
erubescent	ho se xau ho
erubescite	cam thay xau ho
eructation	su cau tao
erudiate	de co duoc
erudite	uyen bac
erudition	su uyen bac
ery	e che
erysipelatous	bi viem quang
erysipelous	viem quang
erythrochroism	benh hong cau
erythroleic	hong cau
escalloped	co ho tong
escapable	co the thoat ra ngoai
escaper	nguoi tron thoat
escarpment	vach da
escharotic	tieng vong co
eschatological	canh chung
eschatology	tien the hoc
escheatable	tranh duoc
escheator	nguoi tron tranh
eschevin	nguoi lam nghe ban rong
escot	duong vien co ao
escribed	duoc quy dinh
escroll	ho tong
esentially	thiet yeu
esentialness	tinh tiem tang
eserine	den cong viec cua ban
esophagotomy	cat thuc quan
esophagus	thuc quan
esopian	thuc dan
esoterics	bi truyen
esotery	khong co dao duc
especial	dac biet
especialness	su dac biet
esperance	su tranh ne
espousage	su tan thanh
espouse	theo
espousement	nhan nhuong
espringal	khat vong
espying	lam gian diep
esquimau	eskimo
esquimaux	eskimos
esquire	ngai
esquiring	tranh ne
essayed	luan
essayist	nguoi viet luan van
essays	bai luan
essence	ban chat
essenism	chu nghia luan
essential	can thiet
essentiated	tu luan
essentiating	luan dieu
essorant	vat ra
establisher	nguoi thiet lap
establishmentarian	nguoi thanh lap
estate	tai san
estatlich	luat dinh
esteemable	dang quy
esteeming	quy trong
esthesiometer	may do esthesiometer
esthetics	tham my
estiferous	con nguoi than thien
estimable	co the uoc luong
estimableness	tinh uoc luong
estimative	uoc luong
estimator	nguoi uoc luong
estivation	chung tich
estopping	lam mat tham my
estovers	bep nuc
estranging	ghe lanh
estrapade	ngoai suy
estreated	bi ghe lanh
estrepe	tai nan
estuance	giao duc
estuary	cua song
esurient	ho se chet doi
esurine	eli
et caetera	va phan con lai
etat major	nguoi lon
etcher	tho khac
eterminable	huy diet
eternal	vinh hang
eternalist	nguoi theo chu nghia vinh cuu
eternities	su xa xua
eternization	su giet chet
etesian	nguoi etesian
etherealism	chu nghia thanh tao
etherealization	su thanh tao
ethereous	thanh tao
etherin	ete
etherization	ete hoa
ethnologically	ve mat dan toc hoc
ethnologist	nha dan toc hoc
ethnology	dan toc hoc
ethule	trong im lang
etiology	can nguyen
etiquette	phep lich su
etnean	trong nhom dan toc
etter pike	sau co gai
ettin	ban da lam
etymologist	nha tu nguyen hoc
etymology	tu nguyen hoc
eucalyptus	bach dan
eucharistical	thanh the
euchologue	nha euchologist
euchrone	bi tich thanh the
eudaemon	ma quy
eudaemonism	thuyet eudaemonism
eudaemonist	nguoi theo chu nghia than thanh
eudemon	ma thu
eudemonism	thuyet eudemonism
eudemonist	cua ma quy
eudemonistical	thuoc ve nguyen ly hoc
eudialyte	de hoa tan
eudiometric	hinh hoc tho so
eudiometry	phep do eudiometry
eugenics	thuyet uu sinh
eugenin	cua eugene
eugetinic	uu sinh
eugubian	nguoi eugubian
euhemerism	thuyet euhemerism
eulogistic	co tinh cham biem
eulogy	dieu van
eunuch	thai giam
eunuchism	thuyet eunuchism
euosmitte	de anh ta di
eupepsy	chung dong kinh
euphemistic	uyen ngu
euphonize	lam hung phan
euphuism	chu nghia hung phan
euphuist	nguoi theo chu nghia hung phan
eupione	boi eupion
eurasian	au a
europeanize	au hoa
eurycerous	than tai
eutrophy	giam can
eutychianism	chu nghia sac toc
euxanthic	phu tro
euxenite	nguoi theo thuyet uu sinh
evacuant	ho trong rong
evacuating	di tan
evacuator	nguoi di tan
evacuatory	so tan
evaluate	thuc giuc
evanescence	tang long dinh
evangelicity	su truyen ba phuc am
evanid	ho da bien mat
evaporometer	thiet bi bay hoi
evection	su doi luu
evened	giao thua
evener	duong xich dao
evenfall	su dong deu
evenhand	bang tay
evenminded	tham chi co dau oc
eventless	khong co su kien
eventuating	bien co
eventuation	su kien
evergreen	thuong xanh
everlastingly	doi doi
everlastingness	su vinh cuu
evernic	vinh cuu
everybody	moi nguoi
everyday	hang ngay
everyone	tat ca moi nguoi
everywhen	moi luc
evet	u
evidence	chung co
evidenced	co bang chung
evidential	bang chung
evidentiary	chung cu
evidentness	su hien nhien
evigilation	thuc tinh
evil-eyed	mat ac
evil-favored	ua thich cai ac
evirate	duoi di
eviration	duoi ra khoi nha
evisceration	su tron tranh
evite	tranh xa
evocate	da ket thuc
evocation	su khoi goi
evocator	nguoi khoi goi
evolutility	su tien hoa
evolutionism	thuyet tien hoa
evolutionist	nha tien hoa
evolvent	tien hoa
evolving	dang phat trien
evomit	anh ay da non
evulgation	su truc xuat
ex officiis	tu van phong
ex officio	ra khoi van phong
ex postfacto	sau su that
ex-	vi du-
ex-official	cuu quan chuc
ex-votos	phieu bau cu
exacerrated	tram trong hon
exacervation	con tram trong
exacinate	lam tram trong them
exacination	su troi day
exacting	chinh xac
exactness	su chinh xac
exactress	nu chinh xac
exacuate	mot cach chinh xac
exaggerate	noi qua
exaltment	su de cao
examen	thi
exametron	sau met
examinable	co the kiem tra
examinee	thi sinh
examiner	giam dinh vien
examinership	giam dinh
exampled	lay le
exanthematous	sau mat hang
exanthesis	su gia du
exaration	ly biet
exaugurate	lam kho han
exauthoration	su uy quyen
exauthorize	uy quyen
excalceate	lam ton len
excalibur	hieu chinh
excarnification	su tay tran
excavator	may xuc
exceptioner	nguoi ngoai tru
excerpting	trich doan
excerptor	nguoi trich dan
exchangeability	kha nang trao doi
exchangeably	co the trao doi
exchanged	da trao doi
exchanger	nguoi trao doi
exchequered	qua khich
exchequering	chinh phuc
excipient	ta duoc
exciple	de tu
excise	tieu thu dac biet
excisemen	nguoi hoc hanh
excitability	de bi kich thich
excitable	de bi kich dong
excitator	nguoi xui giuc
excito-nutrient	nguon cap du lieu kich thich
excito-secretory	kich thich bai tiet
exclusionism	chu nghia doc quyen
exclusionist	nguoi theo chu nghia doc quyen
exclusiveness	tinh doc quyen
exclusivist	loai tru
exclusory	loai tru
excogitate	hay nghi ve no
excogitating	nghi ra
excommunicated	tuyet thong
excommunicating	lam va tuyet thong
excommunication	va tuyet thong
excommunion	tong khu
excreable	co the bai tiet
excrementive	phan ra ngoai
excrementize	phan ra
excrescent	cho em tai
excretin	dao thai
excubation	su tiet ra
exculpable	co the giai thich
excurrent	ho het
excurse	nhung chuyen di
excursion	di choi, da ngoai
excursionist	nguoi choi du ngoan
excursive	du ngoan
excursus	dung tha
excusable	co the bao chua
excusement	su bao chua
excussion	loi bao chua
execratory	su thuc thi
exection	su ra di
executable	co the thuc thi
executed	thuc thi
executer	hanh hinh
execution	chap hanh
executioner	dao phu
executive	chap hanh, quan ly
executor	nguoi thi hanh
executorial	nguoi thuc thi
executorship	quyen thua hanh
executory	su thi hanh
executress	nguoi thi hanh cong vu
executrix	thuc thi
exegetic	co nang luc
exegetical	chu giai
exegetics	nha chu giai hoc
exegetist	nha chu giai
exemplariness	tinh mau muc
exemplarity	su mau muc
exemplification	su minh chung
exemplify	neu guong, lam mau muc
exemplifying	lam guong
exemption	su mien tru
exemptitious	guong mau
exenteration	su ra suc
exercisible	co the tap the duc
exergue	epigraph
exerted	tac dung
exeunt	ho di ra ngoai
exfoliative	tay da chet
exhaust	khi thai
exhibiter	nguoi trien lam
exhibitioner	nguoi trung bay
exhibitor	nha trien lam
exhilarant	ho da phan khoi
exiccation	su bai xich
exigency	su kho tinh
exigible	phai tra
exilarating	phan khoi
exilement	day ai
exiling	luu day
exilition	su day doa
exinanite	het sach
exist	hien huu
existing	hien co
exoculate	bai tru
exode	cuoc di cu
exogamous	ngoai gia thu
exogen	ngoai sinh
exogenetic	ngoai sinh hoc
exogium	cuoc di cu
exolete	ban bi loai
exolve	thoat ra
exoneration	su tha toi
exonerative	bien ho
exonerator	nguoi tuyen duong
exophthalmia	ngoai nhan
exophthalmic	ngoai nhan khoa
exoplasm	ngoai vat chat
exopodite	xuat ngoai
exoration	su tan duong
exorbitant	qua dang
exorcism	tru ta
exorcist	nguoi tru ta
exorhiza	khuyen nhu
exoskeleton	bo xuong ngoai
exosmose	su tham thau
exoterics	loi trich dan
exoticism	chu nghia ky la
expansion	su banh truong
expatriating	xa xu
expatriation	nguoi xa xu
expectable	co the mong doi
expectance	su mong doi
expected	ky vong
expecter	nguoi trong doi
expectorant	thuoc long dom
expectoration	khac ra
expectorative	mong doi
expede	cong van
expediate	van chuyen ra
expediency	su hieu qua
expediential	kinh nghiem
expedite	giuc
expedited	cap toc
expedition	cuoc tham hiem
expeditionary	vien chinh
expeditionist	nguoi tham hiem
expeditive	xuc tien
expellable	co the khai tru
expend	tieu xai
expended	dung het
expending	tieu ton
expenseless	khong ton tien
expensive	dat tien
experiencer	nguoi thu nghiem
experiential	dua theo kinh nghiem
experientialism	chu nghia kinh nghiem
experientiallist	danh sach kinh nghiem
experiment	cuoc thi nghiem
experimentally	thuc nghiem
experimentarian	nguoi thuc nghiem
experimented	da thu nghiem
experimenter	nguoi lam thi nghiem
experimentist	nha thi nghiem
expetible	co the dung duoc
expiatist	nguoi het han su dung
expiator	nguoi het han
expilator	nguoi giai thoat
expirable	dang mong doi
expiring	sap het han
expiry	het han su dung
expletive	dut khoat
explicable	giai thich duoc
explication	giai trinh
explicative	giai thich
explicitness	su ro rang
explode	phat no
exploder	nguoi no
explorable	co the kham pha
explorative	tham do
explorer	nha tham hiem
explosively	bung no
expolish	boc tran
exponential	so mu
exportability	kha nang xuat khau
exportable	co the xuat khau
exported	da xuat khau
exporter	nguoi xuat khau
exporting	xuat khau
exposal	trien lam
exposed	de lo ra
exposedness	su phoi bay
exposer	phoi ra
expositive	phoi bay
expositor	nguoi giai thich
expostulated	cong khai
exposture	su giai bay
exposure	phoi bay
expounding	giai thich
expressing	bay to
expressmen	the hien dan ong
expressness	su the hien
expressure	bieu cam
exprobratory	su ho hap
expugnation	su chinh phuc
expugner	chong tra
expulse	buoc phai ra khoi
expunged	xoa so
expunging	khai tru
expurgated	het han
expurgating	sap ra ngoai
expurgation	su giai thich
expurgatorial	giai phau
expurge	don dep
exquisite	tinh te
exquisitely	tinh xao
exsanguinity	exsanguination
exsasperated	buc tuc
exscind	cat ra
exscinded	cuong che
exscriptural	ngoai van
exscutellate	exscut phuc
exsert	gang suc
exsiccant	de chung kho
exsiccate	tay doc
exsiccation	su tay chay
exsiccative	tay chay
exsiccator	may say kho
exsolution	giai phap
exsuction	su khai tru
exsufflate	tho ra
exsufflation	su trut gian
exsufflicate	lam phien long
extacy	thuoc lac
extant	con ton tai
extatic	ngoai vi
extemporizer	bo mo rong
extendant	gia han
extensibility	kha nang mo rong
extensibleness	tinh mo rong
extensionist	nguoi mo rong
extensive	sau rong
extensively	mot cach chuyen sau
extensometer	gian ke
extensor	nguoi keo dai
extenuate	lam giam bot
exterior	ngoai that
exterminator	nguoi tieu diet
exterminatory	tieu diet
externalism	chu nghia ben ngoai
externality	ngoai canh
externalize	ngoai hoa
extinct	tuyet chung
extinguishable	co the chua chay
extinguisher	binh chua chay
extirpation	su kiet que
extirpative	su khich le
extirpatory	kiet que
extirper	nho tan goc
extogenous	nhung nguoi nuoc ngoai
extolled	tan thuong
extoller	toi se nhan manh
extorter	ke tong tien
extorting	moi tien
extortion	tong tien
extra-	them-
extra-ocular	mat ngoai
extra-uterine	ngoai tu cung
extraaxillary	ngoai tam thu
extrabranchial	ngoai phe quan
extracapsular	ngoai bao bi
extracted	trich xuat
extractible	co the trich xuat
extraditable	co the dan do
extraditing	bien tap
extradition	dan do
extrafoliaceous	nhieu chat nhon
extramural	ngoai hinh
extraordinaries	cac co quan ngoai giao
extraordinariness	su phi thuong
extraparochial	ngoai dong
extraphysical	ngoai vat ly
extraprofessional	ngoai chuyen nghiep
extraprovincial	ngoai tinh
extras	tinh nang bo sung
extrastapedial	ngoai hoi
extraterritorial	ngoai lanh tho
extraterritoriality	tinh ngoai lanh tho
extratropical	ngoai nhiet doi
extravasation	thoat ra ngoai
extravascular	ngoai mach
extravenate	thua thai
extraversion	su ngoai dao
extreat	khai khan
extremities	tu chi
extricable	co the rut ra duoc
extricated	ngoai cam
extrinsicality	tinh ben ngoai
extrinsicalness	tinh ngoai lai
extroversion	huong ngoai
extruction	su giang day
extructive	ep ra
extructor	nguoi xay dung
extuberation	chay ra
extumescence	su toa ra
exudate	dich tiet ra
exudation	su tiet dich
exuding	toat ra
exulceration	su phan khich
exulting	lam kiet que
exundate	chay ra nhu suoi
exuperant	ho da tiep quan
exurgent	vuon len
exuviated	phan khich
exuviating	lam phan chan
eyasmusket	mieng bit mat
eye-saint	mat than
eye-splice	moi noi mat
eye-spot	diem mat
eye-spotted	mat dom
eyeball	nhan cau
eyebeam	chum mat
eyebolt	cho bu long
eyebright	mat phai
eyedrop	thuoc nho mat
eyeflap	mieng dan mat
eyeglass	kinh deo mat
eyeing	de mat den
eyelash	long mi
eyelet	khoen
eyeleteer	ke ve mat
eyelid	mi mat
eyepiece	thi kinh
eyereach	kinh che mat
eyeservant	tinh mat
eyeservice	dich vu cham soc mat
eyeshot	anh mat
eyesore	vat chuong mat
eyestone	da mat
eyeteeth	rang mat
eyetooth	tai nghe
eyewater	kinh mat
eyewinker	dung cu rua mat
eyght	bit mat
eyliad	mot giay
eyren	moi mat
eyrie	chuong mat
faair-spoken	noi cong bang
fabian	nguoi fabian
fabliau	truyen ngu ngon
fabric	vai voc
fabricated	bia dat
fabrication	su bia dat
fabricatress	tho che tao
fabulized	bi bien dang
faburden	tu nha may
facette	khia canh
facework	cong viec doi mat
facia	dang lam
facial	khuon mat
facient	ho se lam
facies	tuong mao
facilitation	su tao dieu kien
facinorous	co nhieu mau sac
facsimiles	ban fax
faction	phe phai
factionist	nguoi theo phe phai
factor	he so
factorage	su tich tru
factorial	yeu to
factoring	bao thanh toan
factorized	nhan to hoa
factorizing	phan tich nhan to
factotums	nhan to
faculties	cac khoa
facund	ho lam
facundity	su du da
fade	phai mau
faded	da bi mo
fader	nguoi lam loi mot
fading	mo dan
fadme	yeu sach
fagotto	bassoon
fahrenheit	do f
failance	su that bai
fainthearted	yeu long
fair-haired	toc dep
fair-leader	nguoi lanh dao cong bang
fair-weather	thoi tiet dep
fair-world	the gioi cong bang
fairy	nang tien
fairyland	coi than tien
fairylike	than tien
faithful	trung thanh
faithless	khong co duc tin
falculate	suy tinh
faldage	nhung ngay mua thu
faldstool	dung cu roi
fallacy	loi nguy bien
fallals	phallic
fallfish	ca thac lac
fallibility	kha nang that bai
fallow deer	con dama
fallowed	bo hoang
fallowist	nguoi theo chu nghia hoang hoa
fallowness	su hoang hoa
falness	su chun buoc
false-faced	mat gia doi
false-hearted	trai tim gia doi
faltering	chun buoc
faluns	duong vat
familiar	quen biet
familiarizing	lam quen
familiarly	quen thuoc
familiarness	su quen thuoc
families	cac gia dinh
familist	chang trai gia dinh
famishing	doi kem
famosity	su doi kem
fan-tailed	duoi quat
fanal	mot cai den
fanaticizing	cuong tin
fancier	nguoi yeu thich
fanciful	huyen ao
fancy	si me
fancy-free	khong ua thich
fancy-sick	ua thich benh hoan
fancywork	cong viec la mat
fanged	bat gap
fangleness	su kho hieu
fangless	khong co rang cua
fanlike	ngay lap tuc o dau
fanner	nguoi ham mo
fantastic-alness	su tuyet voi
fantasticism	chu nghia tuyet voi
fantom	cho fandom
farad	mot con ngua
faradism	chu nghia xa cach
faradization	xa roi
farandams	cho nhung nguoi xa la
farcimen	ho lap day
farctate	dien vao no
farding-bag	tui farding
farfet	co ay chai
farl	tro he
farmable	co the trong trot
farmer	nong phu
farmhouse	nha trang trai
farmost	duoc si
farraginous	xa voi
farriery	nong trai
fartherance	xi hoi
farthermore	xa hon nua
fasces	ban se nhan
fascial	thuoc ve xa hoi
fascicle	lop mang boc
fasciculi	cac tap tin
fasciculus	bo co
fascinated	cuon hut
fascinating	loi cuon
fasciolae	me ly
faser	giai doan
fashion-monger	thoi trang-monger
fashion-mongering	thoi trang thay doi
fashioner	tho thoi trang
fashionless	khong hop thoi trang
fast	nhanh
fastening	buoc chat
faster	nhanh hon
fastigiate	phat xit
fastigiated	bi phat xit hoa
fastish	nguoi phat xit
fastness	lau phai
fat-brained	oc beo
fata morgana	co gai morgana
fatalism	thuyet dinh menh
fatalist	nguoi theo thuyet dinh menh
fatally	gay tu vong
fatback	thit mo
fateful	dinh menh
father longlegs	cha longlegs
father-in-law	bo chong hoac bo vo
father-lasher	cua xac cha
fatherhood	tinh phu tu
fathering	lam cha
fatherland	que cha dat to
fatherless	mo coi cha
fatherlessness	mo coi cha
fatherliness	tinh cha
fatherly	thuoc ve phu he
fathership	quyen lam cha
fathomless	khong co gi dang so
fatigue	su met moi
fatiloquent	ho se noi chuyen
fatimite	cac fatiatim
fatiscence	su man nguyen
fatner	bat
fattened	vo beo
fattener	nguoi beo
fattining	fatty's
fatuity	su map map
fault-finder	cong cu tim loi
faultiness	su cuong tin
faulty	bi loi
faunist	nguoi bao ve quyen luc
fausse-braye	gia ngu
fauteuil	ghe banh
faux pas	pas gia
favel	o chuot
favonian	nguoi ua thich
favoredness	su uu ai
favoress	su yeu thich
favorless	khong uu ai
favose	ua thich
fawn-colored	mau nau vang
faxed	gui qua fax
fayalite	nay mam
faying	cung
fe-licify	fe-lici hoa
feared	lo ngai
fearer	so hon
fearless	khong so hai
feasibility	tinh kha thi
feast	tiec
feaster	le an hoi
feasting	dai tiec
feat-bodied	than hinh ky cong
feather-foil	la long
feather-heeled	got long
feather-pated	long vu
feather-veined	co long vu
feathering.	moc long.
featly	ky cong
featness	su ky cong
feature	tinh nang
featurely	dac sac
feazings	gia tuong
february	thang hai
fecks	bo bai
fecundated	lam can kiet
fecundation	su suy kiet
fecundity	su sung man
fed	da nuoi
federalism	chu nghia lien bang
federalist	nguoi theo chu nghia lien bang
federalizing	lien bang hoa
federative	lien bang
feeder	nguoi cho an
feejee	fiji
feitsui	faye vs.
felanders	nhung ke lam lac
fellable	co the danh roi
fellahin	anh ban
feller	nguoi don mat
felling	don ha
fellon	thang khon
fellow-creature	sinh vat dong loai
fellowfeel	dong cam xuc
fellowless	khong co dong loai
fellowship	tinh bang huu
fellowshiped	thong cong
fellowshiping	tuong giao
felonous	co toi
felony	trong toi
felsitic	co cam tinh
felting	ni
felwort	tu xau
female fern	duong xi cai
female rhymes	van dieu nu
femalist	nguoi theo chu nghia nu quyen
femalize	nu hoa
femineity	tinh nu
feminine rhyme	van dieu nu tinh
feminize	nu tinh hoa
femur	xuong dui
fen-sucked	fen-hut
fenceful	co hang rao
fender	chan bun
fendliche	cong cong
fenestrae	cac cua so
fennel	thi la
fensi-ble	nguoi ham mo - khong co gi
fenugreek	cay thao linh lang
feoffer	nguoi chong do
feoffment	su chong do
ferae naturae	thien nhien hoang da
feriation	su cuong nhiet
ferity	long hieu nghia
fermacy	loi lam
fermentability	kha nang len men
fermentable	co the len men
fermental	co nhiet huyet
fermerere	ran chac hon
fern	cay duong xi
ferny	duong xi
feroher	ke san moi
ferrate	qua ferratas
ferrer	nguoi sat da
ferrest	chon suong
ferric	chat sat
ferried	co hoi men
ferriferous	co nhieu kim loai
ferro-	sat-
ferroso-	sat-
ferrous	sat
ferruginated	co nguon goc tu sat
ferrumination	su nung chay
ferry	chiec pha
ferryboat	pha
ferrying	lai do
ferrymen	nguoi lai do
fertilizing	bon phan
ferula	cay mia
ferulaceous	co chat sat
festering	mung mu
festerment	le ky niem
festeye	den le hoi
festi-val	voi le hoi
festue	ngay hoi
fetation	su lay thai
fetch	tim ve
fetching	tim nap
fete	cac co gai
fetidity	su hung du
feting	chong do
fetlock	khoa lay
fetter	cai kieng
fetterless	khong co thai
fetters	kieng xich
feu de joie	lua trai
feud	moi thu han
feudal	phong kien
feudalist	che do phong kien
feudalizing	phong kien hoa
feudist	lanh chua phong kien
feudtory	moi thu
feuillemort	la chet
feuilltonist	nguoi theo chu nghia ton giao
feverfew	con sot
feverish	sot
fewel	mot it
fewmet	vai met
fewness	su it oi
fiance	hon the
fiancee	vo chua cuoi
fiants	nguoi dau tien
fiberless	khong xo
fibre-faced	mat xo xac
fibrination	su hoa soi
fibrinogenous	soi huyet
fibrinous	co nhieu soi
fibrocartilage	sun soi
fibroma	u xo
fibula	xuong mac
fictile	dat nung
fiction	vien tuong
fictionist	nha hu cau
fictive	hu cau
fiddle	vi cam
fiddle-shaped	hinh tay lai
fidelity	su chung thuy
fidicinal	thuoc phien
fief	thai ap
field	dong ruong
fieldfare	da chien
fielding	su che cho
fieldpiece	hien truong
fieldwork	dien da
fieldy	ruong
fiendful	hung ac
fierce	hung du
fieri facias	lam cho no xay ra
fiery	boc lua
fifed	nam muoi tuoi
fig-shell	vo sung
figeater	nguoi an sung
fighting	co len
figurability	tinh hinh tuong
figurable	co the hinh dung
figurant	xuat hien
figurante	them
figurative	nghia bong
figurine	buc tuong nho
figwort	buc tranh
filander	philanderer
filar	cay cot
filched	ni non
filcher	tho lam thit
filefish	ca tap tin
filer	nguoi quay phim
filially	hieu thao
filibusterism	thuyet hinh soi
filicide	chat sat trung
filiciform	dang soi
filler	chat don
filleting	phi le
fillies	qua tram
fillister	nguoi dien kinh
film	phim anh
filminess	su dong phim
filtrate	dich loc
fimbricate	phan than
fin-footed	chan co vay
finale	dem chung ket
finalities	quyet dinh cuoi cung
finality	tinh chat dut khoat
financially	ve tai chinh
financier	nha tai chinh
finative	tai chinh
finback	vay lung
findfault	tim loi
finding	phat hien
findy	kho tim
finedrawer	nguoi bi phat
finedrawn	bi phat
finely	nhuyen
finer	min hon
finery	do min
finesse	su kheo leo
finestill	tien phat
finestiller	tinh chinh
finfish	ca vay tay
finfoot	vay chan
fingerling	ca giong
fingle-fangle	ngon tay
finicality	tinh lanh manh
finify	hoan thien
finikin	tot thoi
fining	phat tien
finisher	nguoi hoan thien
finite	co han
finitude	su huu han
finlander	phan lan
finlet	thit ca
finlike	giong nhu vay
finnikin	finn cung vay
finnish	phan lan
finochio	phi no thio
finpike	finn pique
fippenny bit	bit fippenny
fir tree	cho cay coi
fire beetle	bo lua
fire-new	lua moi
fire-set	nhom lua
firearm	sung cam tay
fireback	ban tro lai
fireball	qua cau lua
firebird	con chim lua
fireboard	ban cuu hoa
firebrand	thuong hieu lua
firecracker	phao no
fired	bi sa thai
firefish	ca lua
fireflies	dom dom
firelock	khoa lua
firemen	linh cuu hoa
firetail	tai lieu tho so
fireweed	cay co chay
firework	phao hoa
fireworm	con giun lua
firkin	linh sam
firlot	cay thong
firmans	cua cong ty
firmer-chisel	vung chac hon
firmless	khong vung chac
firms	cong ty
first-class	lop hoc dau tien
first-hand	dau tay
first-rate	hang nhat
firstly	truoc het
fiscal	ngan sach
fish-bellied	bung ca
fish-block	khoi ca
fish-tail	duoi ca
fisheries	thuy san
fishery	nganh thuy san
fishful	nhieu ca
fishgig	con ca
fishhawk	luoi cau
fishhook	luoi cau
fishing	danh bat ca
fishmonger	nguoi cau ca
fishskin	da ca
fishwife	nguoi nuoi ca
fishwomen	phu nu ca
fishy	tanh
fissilingual	song ngu
fissility	su mem deo
fission	su phan hach
fissipalmate	ban cung ban
fissiparism	thuyet tin don
fissiped	don thoi
fissipedal	chuyen phiem
fissural	phan hach
fissurella	be khoa no
fisticuff	do ca
fisting	cau ca
fistularia	nam tay
fistulate	nam dam
fistulose	lo ro ri
fistulous	tinh quai
fit	phu hop
fitch	nguoi gia doi
fitches	nhung ke ngu ngoc
fitchet	nguoi an vung
fithul	no re
fitness	su khoe khoan
fittable	ban vua van
fittedness	su vua van
fitter	tho lap may
fitting	vua van
five-finger	nam ngon tay
five-twenties	nam hai muoi
fixed	da sua
fixture	vat co dinh
fixure	su co dinh
fizgig	cho den khi fiz
fjord	vinh hep
flabellation	su bong troc
flacker	ke gian manh
flagellated	co co
flagged	gan co
flagging	cam co
flagitious	day suc song
flagmen	nguoi cam co
flagon	la co
flagrance	su trang tron
flagrancies	su doc doan
flagrate	danh co
flagship	soai ham
flagstaff	co hieu
flagworm	con trung co
flail	khua khoang
flain	phang lang
flame-colored	mau lua
flameless	khong co lua
flaming	ruc lua
flamingo	chim hong hac
flamingoes	hong hac
flammed	bung chay
flammivomous	hoa phuong
flanged	mat bich
flanging	gap mep
flankered	co suon
flanking	chau
flap	dap nhe
flap-eared	tai cup
flap-mouthed	vo ve mieng
flapjack	vat ao
flash	toc bien
flashboard	bang ghim
flasher	nguoi phong dai
flashy	hao nhoang
flasket	cai chai
flat foot	ban chan phang
flat-bottomed	day phang
flat-cap	mu phang
flat-footed	chan bang
flat-headed	dau bang
flatboat	thuyen phang
flatfish	ca det
flattening	lam phang
flatterer	nguoi tang boc
flatting	tang boc
flatuosity	su bang phang
flatus	thoi bay
flatuses	can ho
flatware	do phang
flatworm	giun dep
flaundrish	ca bon
flavored	co huong vi
flavoring	huong lieu
flawy	hoan my
flax	cay gai
flaxseed	hat lanh
flaxweed	cay lanh
flea-bitten	bi bo chet can
fleam	hay de toi khoc
fleck	vet loang lo
flecker	vet o
flectional	phuong huong
fledged	du long du canh
fledgeling	chim con
fleece	vai long cuu
fleecing	chim choc
fleet-foot	ham doi chan
fleetness	su khong doi troi chung
flense	canh dam
fleshed	co thit
fleshiness	bui bui
fleshmonger	nguoi lam thit
fleshpot	den flashpot
fleshquake	goi cho toi
fletching	lam banh mi
fletiferous	phu du
fleurs-de-lis	hoa bach hop
fleury	bo chet
flew	da bay
flews	doi bay
flexibility	uyen chuyen
flexible	linh hoat
flexion	su uon deo
flexor	nguoi uon deo
flexuose	trong linh hoat
flexural	uon deo
flickeringly	chap chon
flier	phi cong
flight-shot	ban may bay
flighty	bay nhieu
flinched	nao nung
flinchingly	lam nao nung
fling	quang ra
flinger	chau chuc
flint glass	kinh da lua
flint-hearted	trai tim bang da lua
flip-flap	lat vat
flipper	nguoi lat dat
flipping	lat
flirt	tha thinh
floatable	co the tha noi
floatage	su troi noi
floater	nguoi tha noi
floatiersman	nguoi danh hoa
flocculate	ket bong
flocculation	keo tu
flockmel	dan cuu
flood	lut
flooder	nguoi lam ngap lut
floored	lam bang phang
floorheads	dau san
floorwalker	nguoi di bo tren san
flop	roi phich xuong
